sample,latitude_dd,longitude_dd,date_time,status,site,location,depth_m,forwards_habitat_image_saved,successful_habitat_forward,observer_habitat_forward,comment
1,-35.050308,117.912089,2026-04-17T10:05:00+08:00,,163,Prince Harbor,1.9,,,,
2,-35.048375,117.913803,2026-04-17T10:09:00+08:00,,153,Prince Harbor,3.2,,,,
3,-35.047306,117.913689,2026-04-17T10:11:00+08:00,,154,Prince Harbor,3.6,,,,
4,-35.047753,117.912608,2026-04-17T10:13:00+08:00,,155,Prince Harbor,4.0,,,,
5,-35.043639,117.911947,2026-04-17T10:17:00+08:00,,156,Prince Harbor,3.9,,,,
6,-35.048239,117.914211,2026-04-17T10:20:00+08:00,,157,Prince Harbor,7.2,,,,
7,-35.040819,117.914281,2026-04-17T10:25:00+08:00,,X1,Prince Harbor,3.4,,,,
8,-35.040472,117.917708,2026-04-17T10:28:00+08:00,,160,Prince Harbor,4.7,,,,
9,-35.036817,117.913489,2026-04-17T10:33:00+08:00,,159,Prince Harbor,4.2,,,,
10,-35.038161,117.913311,2026-04-17T10:35:00+08:00,,158,Prince Harbor,5.4,,,,
11,-35.046475,117.906861,2026-04-17T10:42:00+08:00,,161,Prince Harbor,7.2,,,,
12,-35.045597,117.904186,2026-04-17T10:44:00+08:00,,X2,Prince Harbor,11.0,,,,
13,-35.044364,117.903475,2026-04-17T10:49:00+08:00,,                     X3,Prince Harbor,11.0,,,,
14,-35.043114,117.900622,2026-04-17T10:53:00+08:00,,                     X4,Prince Harbor,10.5,,,,
15,-35.045117,117.900364,2026-04-17T10:56:00+08:00,,                     X5,Prince Harbor,10.5,,,,
16,-35.049789,117.909650,2026-04-17T11:40:00+08:00,,162,Prince Harbor,3.7,,,,
17,-35.048778,117.904714,2026-04-17T11:46:00+08:00,,166,Prince Harbor,6.6,,,,
18,-35.048619,117.902181,2026-04-17T11:49:00+08:00,,167,Prince Harbor,7.6,,,,
19,-35.051406,117.900600,2026-04-17T11:54:00+08:00,,168,Prince Harbor,6.0,,,,
20,-35.053008,117.900047,2026-04-17T11:57:00+08:00,,169,Prince Harbor,5.5,,,,
21,-35.053833,117.898944,2026-04-17T11:59:00+08:00,,170,Prince Harbor,4.8,,,,
22,-35.055136,117.895131,2026-04-17T12:04:00+08:00,,171,Prince Harbor,4.6,,,,
23,-35.054397,117.892953,2026-04-17T12:07:00+08:00,,172,Prince Harbor,4.0,,,,
24,-35.053003,117.895153,2026-04-17T12:10:00+08:00,,173,Prince Harbor,4.2,,,,
25,-35.049172,117.896250,2026-04-17T12:15:00+08:00,,174,Prince Harbor,7.2,,,,
26,-35.046800,117.894386,2026-04-17T12:19:00+08:00,,175,Prince Harbor,7.6,,,,
27,-35.047533,117.893058,2026-04-17T12:23:00+08:00,,176,Prince Harbor,7.5,,,,
28,-35.048394,117.891394,2026-04-17T12:27:00+08:00,,                     X6,Prince Harbor,7.0,,,,
29,-35.047850,117.888639,2026-04-17T12:31:00+08:00,,                     X7,Prince Harbor,6.8,,,,
30,-35.046425,117.890178,2026-04-17T12:34:00+08:00,,                     X8,Prince Harbor,7.5,,,,
31,-35.051394,117.907058,2026-04-17T14:36:00+08:00,,165,Prince Harbor,4.1,,,,
