,id,name,updated_at,created_at,parent_id,is_approved,is_mapped,uuid,lineage_names,color,tag_names,label_scheme.name,label_scheme.id,user.full_name,user.id,vocab_registry.catami,vocab_registry.worms,vocab_registry.caab
0,29000,Bottle,2024-12-16 06:46:31.004245,2024-12-16 06:46:28.019892,28998.0,False,False,fc9bad7f-759a-4e3c-9ae6-60e542cd408a,1.2 Anthropogenic debris > Bottle,#f33a91,,"Benthic habitat and relief schema for BRUV, BOSS and DOV imagery",83,Jacquomo Monk,45,,,
1,28909,Corals,2024-12-16 05:36:59.427732,2024-12-16 05:36:56.340081,28907.0,False,True,33c8dd6d-4c66-4057-8488-fd9ddda14b2d,1.1 Biota > Cnidaria > Corals,#faf375,,"Benthic habitat and relief schema for BRUV, BOSS and DOV imagery",83,Jacquomo Monk,45,11168000,1292,11168000
2,28904,Ascidians,2024-12-16 05:42:06.330490,2024-12-16 05:34:26.574810,28911.0,False,True,906bfa09-64b2-49b2-8415-03081921e892,1.1 Biota > Ascidians,#6d94b2,,"Benthic habitat and relief schema for BRUV, BOSS and DOV imagery",83,Jacquomo Monk,45,35000000,1839,35000000
3,28905,Bacterial mats,2024-12-16 05:42:22.520461,2024-12-16 05:34:44.313696,28911.0,False,True,5065fa62-d21b-40f3-84b4-2c4723bd8a97,1.1 Biota > Bacterial mats,#0aed93,,"Benthic habitat and relief schema for BRUV, BOSS and DOV imagery",83,Jacquomo Monk,45,72000901,6,72000901
4,28914,Hydroids,2024-12-16 05:43:36.671497,2024-12-16 05:43:33.989574,28907.0,False,True,c4c358bb-c9b4-4e30-a7a2-da37cd1d27a1,1.1 Biota > Cnidaria > Hydroids,#f9f151,,"Benthic habitat and relief schema for BRUV, BOSS and DOV imagery",83,Jacquomo Monk,45,11001000,"1337,138081",11001000
5,28929,Fishes,2024-12-16 05:47:38.562635,2024-12-16 05:47:35.184202,28911.0,False,True,87dc6311-c47b-4d22-90d9-8d4de2d72e85,1.1 Biota > Fishes,#5a2086,,"Benthic habitat and relief schema for BRUV, BOSS and DOV imagery",83,Jacquomo Monk,45,37000000,11676,37000000
6,28965,Ruppia spp,2024-12-16 05:56:20.547229,2024-12-16 05:56:16.719345,28961.0,False,True,a28f11c4-6206-4069-9769-47ad11c84069,1.1 Biota > Seagrasses > Strap-like leaves > Ruppia spp,#ddc825,,"Benthic habitat and relief schema for BRUV, BOSS and DOV imagery",83,Jacquomo Monk,45,,,63614901
7,28971,Erect forms,2024-12-16 05:58:21.420119,2024-12-16 05:58:18.983874,28968.0,False,True,dd4dcb21-b35d-4f0c-992a-4b4be82bba77,1.1 Biota > Sponges > Erect forms,#a99a38,,"Benthic habitat and relief schema for BRUV, BOSS and DOV imagery",83,Jacquomo Monk,45,10000912,,10000912
8,28980,5: Caves,2024-12-16 06:06:05.857227,2024-12-16 06:02:07.813077,28977.0,False,True,9bca111e-1a8f-4add-9bab-9408616984c7,2 Physical > Relief > 5: Caves,#83e041,,"Benthic habitat and relief schema for BRUV, BOSS and DOV imagery",83,Jacquomo Monk,45,82003007,,82003007
9,28988,Limited,2024-12-16 06:08:53.461006,2024-12-16 06:08:47.981551,28986.0,False,False,9dee181b-abe0-425c-867e-370af774c0a6,3 Field of View > Limited,#e67400,,"Benthic habitat and relief schema for BRUV, BOSS and DOV imagery",83,Jacquomo Monk,45,,,
